mode,epoch_0,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
Align_Uniform,-0.7565,-1.7095,-2.5561,-2.9595,-3.1211,-3.1937,-3.2323,-3.258,-3.2767,-3.2893,-3.2967
Align_Uniform+Proto,-0.7361,-1.6685,-2.6763,-3.0859,-3.2377,-3.2997,-3.332,-3.3515,-3.3636,-3.3714,-3.3743
InfoNCE,-0.7192,-2.1408,-2.9512,-3.1586,-3.2073,-3.2275,-3.2466,-3.2705,-3.2909,-3.3071,-3.3175
InfoNCE+Proto,-0.6344,-2.096,-3.0212,-3.2437,-3.291,-3.3083,-3.3247,-3.3431,-3.3575,-3.3696,-3.3757
