mode,epoch_0,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
Align_Uniform,4.3438,1.4987,0.6522,0.3844,0.281,0.2424,0.2331,0.2131,0.203,0.1956,0.1992
Align_Uniform+Proto,4.3619,1.5506,0.7503,0.5241,0.4347,0.422,0.4082,0.3846,0.3695,0.3733,0.3687
InfoNCE,4.3955,1.0306,0.421,0.269,0.2262,0.1876,0.1766,0.1651,0.1534,0.1431,0.1458
InfoNCE+Proto,4.5161,1.0865,0.4907,0.338,0.2897,0.2518,0.2356,0.219,0.2194,0.2176,0.2085
