mode,epoch_0,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
Align_Uniform,4.2479,1.8306,1.6162,1.4985,1.4098,1.3953,1.3262,1.3167,1.2798,1.2704,1.2597
Align_Uniform+Proto,4.3449,1.8162,1.472,1.3748,1.2939,1.234,1.2243,1.2321,1.2051,1.1918,1.1969
InfoNCE,4.355,1.5725,1.447,1.4204,1.3447,1.3098,1.2547,1.2617,1.2362,1.2034,1.248
InfoNCE+Proto,4.4747,1.4669,1.4124,1.3599,1.3097,1.2573,1.2144,1.218,1.1903,1.1838,1.2022
